,cena,cena_za_od,czynsz,dostepne_od,forma_wlasnosci,liczba_kondygnacji,liczba_pieter,liczba_pokoi,material_budynku,metraz_do,metraz_od,ogrzewanie,okna,pietro,powierzchnia,rodzaj_zabudowy,rok_budowy,rynek,stan_inwestycji,stan_wykonczenia,typ_oferowanych_nieruchomosci,url
0,299000.0,,,,pelna_wlasnosc,,8,2,pustak,,,miejskie,plastikowe,2,40.0,apartamentowiec,2019,pierwotny,,do_zamieszkania,,https://www.otodom.pl/oferta/kup-i-zamieszkaj-przy-dolinie-prawie-gotowe-ID3Yj8M.html#4b2b486214
1,275709.0,,,,,,10,3,,,,miejskie,plastikowe,1,48.37,apartamentowiec,,pierwotny,,do_wykonczenia,,https://www.otodom.pl/oferta/nowa-inwestycja-mieszkania-na-bazantowie-ID3N66M.html#f2ba8bc124
2,518891.0,,,,,,10,4,zelbet,,,miejskie,plastikowe,2,79.22,blok,,pierwotny,,,,https://www.otodom.pl/oferta/nowe-tysiaclecie-etap-iii-ID3Yesk.html#c5f59d18e3
3,255000.0,,,,pelna_wlasnosc,,,3,,,,miejskie,plastikowe,10,50.0,apartamentowiec,2019,pierwotny,,do_wykonczenia,,https://www.otodom.pl/oferta/narozny-apartament-na-ostatnim-pietrze-z-balkonem-ID3XmZV.html#56495f6fb8
4,290457.0,,,,,,10,3,,,,miejskie,plastikowe,1,49.23,apartamentowiec,,pierwotny,,do_wykonczenia,,https://www.otodom.pl/oferta/nowa-inwestycja-mieszkania-na-bazantowie-ID3N5YM.html#980982e1b5
5,270000.0,,,,pelna_wlasnosc,,3,3,,,,,,3,45.0,,,wtorny,,,,https://www.otodom.pl/oferta/zarabiajace-mieszkanie-inwestycyjne-ligota-ID3VrTi.html#48d083e427
6,693528.0,,,,pelna_wlasnosc,,6,4,,,,miejskie,aluminiowe,6,78.81,apartamentowiec,,pierwotny,,do_wykonczenia,,https://www.otodom.pl/oferta/uwaga-lux-apartament-w-centrum-biuro-sprzedazy-ID3Vs1u.html#48d083e427
7,627200.0,,,,pelna_wlasnosc,,6,3,,,,miejskie,aluminiowe,6,64.0,apartamentowiec,,pierwotny,,do_wykonczenia,,https://www.otodom.pl/oferta/zacznij-cieszyc-sie-zyciem-najlepsza-inwestycja-ID3Vs1y.html#48d083e427
8,337994.0,,180.0,,pelna_wlasnosc,,4,3,,,,miejskie,,4,61.12,apartamentowiec,2019,pierwotny,,do_wykonczenia,,https://www.otodom.pl/oferta/nowe-rozkladowe-mieszkanie-z-duzym-przedpokojem-ID3Vs5a.html#48d083e427
9,636300.0,,,,pelna_wlasnosc,,6,4,,,,miejskie,aluminiowe,6,70.7,apartamentowiec,,pierwotny,,do_wykonczenia,,https://www.otodom.pl/oferta/lux-apartamentowiec-centrum-stare-ceny-tylko-u-nas-ID3Vs1K.html#48d083e427
10,444000.0,,1.0,,pelna_wlasnosc,,,3,,,,miejskie,plastikowe,2,67.0,apartamentowiec,2020,pierwotny,,do_wykonczenia,,https://www.otodom.pl/oferta/nowa-inwestycja-blisko-parku-i-lasu-nowe-ptasie-ID3Xn4s.html#56495f6fb8
11,398601.0,,200.0,,pelna_wlasnosc,,4,3,,,,miejskie,,4,71.82,apartamentowiec,2019,pierwotny,,do_wykonczenia,,https://www.otodom.pl/oferta/apartament-z-oddzielna-kuchnia-atrakcyjna-cena-ID3Vs5i.html#48d083e427
12,475640.0,,,,pelna_wlasnosc,,6,3,,,,miejskie,aluminiowe,parter,54.05,apartamentowiec,,pierwotny,,do_wykonczenia,,https://www.otodom.pl/oferta/bezposrednio-0-pcc-przy-filharmonii-centrum-ID3Vs1S.html#48d083e427
13,540000.0,,,,pelna_wlasnosc,,3,3,,,,,plastikowe,2,74.0,apartamentowiec,,wtorny,,do_zamieszkania,,https://www.otodom.pl/oferta/k-ce-ksiazece-apartament-z-miejscem-parkingowym-ID3Yxic.html#7856e860dd
14,225000.0,,,,pelna_wlasnosc,,10,2,pustak,,,miejskie,plastikowe,6,40.0,apartamentowiec,2019,pierwotny,,,,https://www.otodom.pl/oferta/sloneczne-2pok-przy-lasach-promocja-0-pcc-ID3Yj5e.html#7856e860dd
15,295000.0,,500.0,,,,10,3,,,,,,8,61.0,blok,,wtorny,,,,https://www.otodom.pl/oferta/mieszkanie-katowice-os-witosa-ID3YuOU.html#7856e860dd
16,285000.0,,,,pelna_wlasnosc,,4,1,,,,miejskie,plastikowe,1,48.2,kamienica,,wtorny,,do_zamieszkania,,https://www.otodom.pl/oferta/industrialne-studio-w-samym-centrum-katowic-gotowe-ID3Vsqk.html#48d083e427
