,cena,forma_wlasnosci,liczba_pieter,liczba_pokoi,ogrzewanie,okna,pietro,powierzchnia,rodzaj_zabudowy,rok_budowy,rynek,stan_wykonczenia
0,299000.0,1,8.0,2,miejskie,plastikowe,2,40.0,apartamentowiec,2019.0,pierwotny,do_zamieszkania
1,275709.0,1,10.0,3,miejskie,plastikowe,1,48.37,apartamentowiec,,pierwotny,do_wykonczenia
2,518891.0,1,10.0,4,miejskie,plastikowe,2,79.22,blok,,pierwotny,
3,255000.0,1,,3,miejskie,plastikowe,10,50.0,apartamentowiec,2019.0,pierwotny,do_wykonczenia
4,290457.0,1,10.0,3,miejskie,plastikowe,1,49.23,apartamentowiec,,pierwotny,do_wykonczenia
5,270000.0,1,3.0,3,,,3,45.0,,,wtorny,
6,693528.0,1,6.0,4,miejskie,aluminiowe,6,78.81,apartamentowiec,,pierwotny,do_wykonczenia
7,627200.0,1,6.0,3,miejskie,aluminiowe,6,64.0,apartamentowiec,,pierwotny,do_wykonczenia
8,337994.0,1,4.0,3,miejskie,,4,61.12,apartamentowiec,2019.0,pierwotny,do_wykonczenia
9,636300.0,1,6.0,4,miejskie,aluminiowe,6,70.7,apartamentowiec,,pierwotny,do_wykonczenia
10,444000.0,1,,3,miejskie,plastikowe,2,67.0,apartamentowiec,2020.0,pierwotny,do_wykonczenia
11,398601.0,1,4.0,3,miejskie,,4,71.82,apartamentowiec,2019.0,pierwotny,do_wykonczenia
12,475640.0,1,6.0,3,miejskie,aluminiowe,parter,54.05,apartamentowiec,,pierwotny,do_wykonczenia
13,540000.0,1,3.0,3,,plastikowe,2,74.0,apartamentowiec,,wtorny,do_zamieszkania
14,225000.0,1,10.0,2,miejskie,plastikowe,6,40.0,apartamentowiec,2019.0,pierwotny,
15,295000.0,1,10.0,3,,,8,61.0,blok,,wtorny,
16,285000.0,1,4.0,1,miejskie,plastikowe,1,48.2,kamienica,,wtorny,do_zamieszkania
17,238700.0,1,10.0,2,miejskie,,4,38.5,apartamentowiec,,pierwotny,do_wykonczenia
18,285000.0,1,10.0,3,miejskie,plastikowe,10,53.0,apartamentowiec,,pierwotny,
19,493416.0,1,6.0,3,miejskie,aluminiowe,2,56.07,apartamentowiec,,pierwotny,do_wykonczenia
20,349000.0,1,4.0,3,elektryczne,plastikowe,1,60.0,kamienica,,wtorny,do_zamieszkania
21,243788.0,1,10.0,2,miejskie,,5,41.32,apartamentowiec,,pierwotny,do_wykonczenia
22,256448.0,1,10.0,2,miejskie,,7,40.07,apartamentowiec,,pierwotny,do_wykonczenia
23,459550.0,1,2.0,3,,plastikowe,1,65.65,apartamentowiec,,pierwotny,
24,330000.0,1,4.0,3,,plastikowe,2,66.0,blok,,wtorny,do_remontu
25,216500.0,1,10.0,2,miejskie,plastikowe,10,37.0,apartamentowiec,,pierwotny,
26,249000.0,1,,3,elektryczne,plastikowe,,42.0,kamienica,,wtorny,
27,530000.0,1,2.0,3,gazowe,plastikowe,parter,67.81,blok,2012.0,wtorny,do_zamieszkania
28,229999.0,1,18.0,2,miejskie,plastikowe,&gt;_10,51.0,blok,1978.0,wtorny,do_zamieszkania
29,497000.0,1,11.0,3,miejskie,plastikowe,6,65.5,apartamentowiec,2014.0,wtorny,do_zamieszkania
30,295000.0,0,10.0,3,miejskie,plastikowe,8,61.0,blok,1979.0,wtorny,do_zamieszkania
31,209884.0,1,5.0,1,miejskie,plastikowe,3,30.64,apartamentowiec,,pierwotny,do_wykonczenia
32,294640.0,1,10.0,3,miejskie,,7,50.8,apartamentowiec,,pierwotny,do_wykonczenia
34,471148.0,1,7.0,2,,,7,49.84,,2021.0,pierwotny,
35,347759.0,1,5.0,3,miejskie,plastikowe,parter,54.71,apartamentowiec,,pierwotny,do_wykonczenia
36,205000.0,0,4.0,2,miejskie,plastikowe,parter,38.0,blok,,wtorny,
37,299900.0,0,10.0,3,miejskie,plastikowe,1,61.0,blok,,wtorny,do_zamieszkania
38,542448.0,1,7.0,3,,,5,55.96,,2021.0,pierwotny,
39,386161.0,1,5.0,4,miejskie,plastikowe,5,59.87,apartamentowiec,2019.0,pierwotny,do_wykonczenia
40,308000.0,1,,2,miejskie,plastikowe,1,55.0,apartamentowiec,2018.0,wtorny,do_zamieszkania
41,375000.0,1,2.0,2,kotlownia,plastikowe,1,60.0,apartamentowiec,2006.0,wtorny,do_zamieszkania
42,560000.0,1,,4,miejskie,plastikowe,3,82.28,,,pierwotny,
43,183183.0,1,5.0,1,miejskie,plastikowe,2,25.62,apartamentowiec,,pierwotny,do_wykonczenia
