,cena,forma_wlasnosci,liczba_pieter,liczba_pokoi,okna,powierzchnia,rodzaj_zabudowy,rok_budowy,rynek,stan_wykonczenia,cena_mkw_PLN
0,299000.0,1,2,2,1,40.0,1,1,1,2,7475.0
1,275709.0,1,2,3,1,48.37,1,1,1,1,5700.0
2,518891.0,1,2,4,1,79.22,2,1,1,0,6550.0
3,255000.0,1,1,3,1,50.0,1,1,1,1,5100.0
4,290457.0,1,2,3,1,49.23,1,1,1,1,5900.0
5,270000.0,1,1,3,0,45.0,0,3,2,0,6000.0
6,693528.0,1,2,4,2,78.81,1,1,1,1,8800.0
7,627200.0,1,2,3,2,64.0,1,1,1,1,9800.0
8,337994.0,1,1,3,0,61.12,1,1,1,1,5530.006544502618
9,636300.0,1,2,4,2,70.7,1,1,1,1,9000.0
10,444000.0,1,1,3,1,67.0,1,1,1,1,6626.865671641791
11,398601.0,1,1,3,0,71.82,1,1,1,1,5550.000000000001
12,475640.0,1,2,3,2,54.05,1,1,1,1,8800.0
13,540000.0,1,1,3,1,74.0,1,3,2,2,7297.2972972972975
14,225000.0,1,2,2,1,40.0,1,1,1,0,5625.0
15,295000.0,1,2,3,0,61.0,2,3,2,0,4836.065573770492
16,285000.0,1,1,1,1,48.2,3,3,2,2,5912.863070539419
17,238700.0,1,2,2,0,38.5,1,1,1,1,6200.0
18,285000.0,1,2,3,1,53.0,1,1,1,0,5377.358490566037
19,493416.0,1,2,3,2,56.07,1,1,1,1,8800.0
20,349000.0,1,1,3,1,60.0,3,3,2,2,5816.666666666667
21,243788.0,1,2,2,0,41.32,1,1,1,1,5900.0
22,256448.0,1,2,2,0,40.07,1,1,1,1,6400.0
23,459550.0,1,1,3,1,65.65,1,1,1,0,6999.999999999999
24,330000.0,1,1,3,1,66.0,2,3,2,3,5000.0
25,216500.0,1,2,2,1,37.0,1,1,1,0,5851.351351351352
26,249000.0,1,1,3,1,42.0,3,3,2,0,5928.571428571428
